2017.11.02 08.58.46.723;10.3.0.40;4002;0F 11 0F 1B 13 01 03 17 1B 0F 17 19 09 1B 0F 0F 1B 0C 24 24 14 2E 23 0A 40 30 33 34 31 41 03 02 FF 00 02 80 02 39 03 11 10 00 8D 23 F4 01 33 33 33 05 3A 73 00 87 22 00 00 85 00 F2 06 0E 12 20 2E 0C 1A 03 11 00 1B 39 3C 49 1F 2C 19 1B 04 03 01 00 00 00 00 00 00 00 04 42 2E 2C 26 0F 2F 37 2E 36 27 19 21 2F 26 14
2017.11.02 08.58.46.734;10.3.0.40;4002;27 31 54 37 27 14 24 24 1B 1F 17 1F 14 0B 14 11 16 0B 03 09 0B 07 0C 01 00 07 06 1E 14 21 19 09 04 07 04 04 04 27 33 3C 39 11 00 00 00 00 00 11 52 3E 47 23 19 06 04 00 0B 09 2E 41 37 36 00 03 0B 07 00 00 0C 39 1E 26 00 00 00 06 03 00 00 14 2F 24 23 11 0F 0F 00 13 00 01 1E 27 0E 0E 11 13 11 13 13 00 00 11 03 03
2017.11.02 08.58.46.743;10.3.0.40;4002;03 01 09 16 14 14 27 21 03 14 0E 00 07 01 0E 0B 00 00 00 03 00 00 00 1B 1B 0E 00 00 00 00 00 00 00 03 1B 06 06 0E 00 00 00 00 00 07 0C 16 0C 0B 09 01 0F 04 04 00 0B 1C 11 00 00 00 00 03 07 06 13 0E 2B 0C 0B 07 0C 04 04 0B 1F 1F 1E 11 13 1C 0F 09 07 09 13 17 1C 19 07 07 01 13 14 0C 00 1C 1C 13 06 14 16 16 0E 0F
2017.11.02 08.58.46.753;10.3.0.40;4002;03 14 24 14 17 0C 1C 16 0C 11 0E 00 00 26 1B 26 27 09 19 1F 1B 0B 0F 2E 2E 29 27 17 13 19 2F 23 0F 2B 37 24 24 14 0F 16 31 2E 14 0E 3A 41 29 26 27 2E 24 26 1F 17 27 4F 31 1F 21 24 2B 2B 24 00 1E 42 51 2B 1E 16 16 27 23 1F 06 29 4C 39 1B 1E 21 3C 3A 26 17 19 36 37 23 23 1E 2B 39 23 14 2B 29 39 29 2B 29 2C 2C 31
2017.11.02 08.58.46.765;10.3.0.40;4002;21 1B 2B 23 2E 2F 26 1B 41 3A 34 19 1F 1B 1E 27 1E 16 21 41 39 1E 1B 2B 24 29 24 1C 2C 3E 42 2F 26 1F 23 16 29 2C 2E 33 2C 2C 2B 23 2C 23 26 3C 21 24 26 41 49 24 24 2B 1E 42 3E 1E 33 1E 24 2F 26 21 23 27 47 2E 37 2F 2C 46 37 2F 21 1F 42 42 2B 27 1C 33 3A 23 29 27 29 39 23 2E 2E 24 47 44 31 23 13 37 3A 27 2B 26
2017.11.02 08.58.46.772;10.3.0.40;4002;1C 44 29 1F 26 29 2B 27 24 33 1E 37 3F 0B 27 21 24 2F 19 1B 26 27 3C 2B 2C 19 19 21 29 24 27 1E 1F 1F 2B 24 23 16 27 21 27 33 26 24 24 1E 23 24 19 33 2E 33 33 23 1B 16 19 1F 27 36 29 2E 3A 0E 33 2C 33 31 29 24 21 2E 2C 29 2E 26 24 2F 21 23 0B 31 26 34 17 26 1F 33 33 1E 14 24 23 1B 31 2F 1F 14 2F 17 29 0C 27 29
2017.11.02 08.58.46.782;10.3.0.40;4002;16 19 29 1C 24 2C 27 27 23 29 21 29 1F 1F 27 1F 03 19 1F 27 16 16 21 26 2E 2F 1E 2F 2F 1B 29 19 19 24 24 26 26 16 2B 1B 1F 2B 27 23 0E 19 26 11 1C 1B 21 21 2E 1B 21 29 26 29 27 21 21 1C 33 33 1E 24 1F 13 0C 2B 19 17 1E 1F 23 27 1F 24 19 21 1E 19 1B 1C 1C 13 1C 0B 19 26 16 1F 1E 26 1E 19 1E 19 21 1F 1E 24 07 14
2017.11.02 08.58.46.792;10.3.0.40;4002;0B 17 19 14 24 1C 1E 1B 19 23 29 1F 1F 1C 13 13 13 06 13 09 11 17 1E 11 11 16 21 16 23 26 17 17 23 23 14 19 17 16 1B 1E 17 1E 16 1E 00 0E 0E 0E 0F 1C 1B 1C 13 1B 13 0C 1C 23 0B 1C 0E 0E 21 14 1C 1E 09 17 1B 14 16 0C 13 19 0E 1C 00 16 16 17 1B 19 1E 1E 0F 16 11 0C 13 11 1E 1E 1C 1C 00 1E 17 0B 0E 1E 17 1B 0E 0B
2017.11.02 08.58.46.802;10.3.0.40;4002;1E 1C 1F 03 00 14 13 17 0F 16 13 13 0F 11 0C 13 19 04 19 0F 1F 0E 11 07 11 16 17 06 01 0C 0A 40 30 33 34 31 41 03 02 FF 00 02 80 02 39 03 11 10 00 8D 23 F4 01 33 33 33 05 3A 73 00 87 22 00 00 85 00 F2 06 0E 12 20 4E 0C 1A 03 07 00 19 39 3E 49 2E 23 2B 0C 0B 07 00 00 00 00 00 00 00 00 39 47 49 2C 26 1B 09 0E 16
2017.11.02 08.58.46.812;10.3.0.40;4002;33 34 2E 4F 4F 26 2B 33 21 3C 37 2C 34 2C 14 2F 31 0F 11 0F 24 13 0E 17 0F 14 13 1B 1C 14 14 00 06 00 01 0C 00 00 00 00 00 00 13 0F 07 16 17 01 04 00 00 00 00 00 00 37 34 41 13 0C 07 06 00 00 01 0C 2B 2F 1F 04 00 00 00 00 00 04 23 29 26 1B 00 00 06 04 00 00 0B 1C 1C 14 16 06 07 03 0C 07 11 1B 1F 34 2E 03 06 00
